frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
301,5.017,1280,726,23,61,1280,720
302,5.033,1278,722,23,61,1280,720
303,5.05,1277,718,23,61,1280,720
304,5.067,1277,714,22,60,1280,720
305,5.083,1278,710,23,61,1280,720
306,5.1,1277,707,23,61,1280,720
307,5.117,1277,703,23,61,1280,720
308,5.133,1275,699,23,61,1280,720
309,5.15,1274,694,23,61,1280,720
310,5.167,1273,689,23,61,1280,720
311,5.183,1272,686,23,61,1280,720
312,5.2,1272,684,23,61,1280,720
313,5.217,1271,682,23,61,1280,720
314,5.233,1270,682,23,61,1280,720
315,5.25,1269,683,23,61,1280,720
316,5.267,1268,686,23,61,1280,720
317,5.283,1268,688,23,61,1280,720
318,5.3,1268,692,23,61,1280,720
319,5.317,1270,695,23,61,1280,720
320,5.333,1273,697,23,61,1280,720
321,5.35,1275,697,23,61,1280,720
322,5.367,1278,698,23,61,1280,720
323,5.383,1280,699,23,61,1280,720
324,5.4,1283,699,23,61,1280,720
325,5.417,1285,699,23,61,1280,720
326,5.433,1286,699,23,61,1280,720
327,5.45,1289,698,23,61,1280,720
328,5.467,1290,698,23,61,1280,720
329,5.483,1290,698,23,61,1280,720
330,5.5,1288,698,23,61,1280,720
331,5.517,1287,698,23,61,1280,720
332,5.533,1284,698,23,61,1280,720
333,5.55,1282,698,23,61,1280,720
334,5.567,1278,698,23,61,1280,720
335,5.583,1274,698,23,61,1280,720
336,5.6,1272,698,23,61,1280,720
337,5.617,1269,698,23,61,1280,720
338,5.633,1268,698,23,61,1280,720
339,5.65,1268,698,23,61,1280,720
340,5.667,1268,698,23,61,1280,720
341,5.683,1268,697,23,61,1280,720
342,5.7,1269,698,23,61,1280,720
343,5.717,1271,697,23,61,1280,720
344,5.733,1271,698,23,61,1280,720
345,5.75,1272,697,23,61,1280,720
346,5.767,1273,697,23,61,1280,720
347,5.783,1273,697,23,61,1280,720
348,5.8,1274,698,23,61,1280,720
349,5.817,1275,699,23,61,1280,720
350,5.833,1275,700,23,61,1280,720
351,5.85,1278,701,23,61,1280,720
352,5.867,1278,702,23,61,1280,720
353,5.883,1279,703,23,61,1280,720
354,5.9,1279,704,23,61,1280,720
355,5.917,1279,705,22,60,1280,720
356,5.933,1280,706,22,60,1280,720
357,5.95,1280,706,22,60,1280,720
358,5.967,1280,706,22,60,1280,720
359,5.983,1279,705,22,60,1280,720
360,6.0,1278,705,22,60,1280,720
361,6.017,1277,704,23,61,1280,720
362,6.033,1276,704,23,61,1280,720
363,6.05,1276,704,23,61,1280,720
364,6.067,1277,703,23,62,1280,720
365,6.083,1277,703,23,62,1280,720
366,6.1,1278,702,23,61,1280,720
367,6.117,1277,700,23,61,1280,720
368,6.133,1278,700,23,61,1280,720
369,6.15,1279,699,23,61,1280,720
370,6.167,1277,698,23,61,1280,720
371,6.183,1276,697,23,62,1280,720
372,6.2,1274,698,23,62,1280,720
373,6.217,1274,698,23,62,1280,720
374,6.233,1271,698,23,62,1280,720
375,6.25,1268,698,23,62,1280,720
376,6.267,1265,698,23,62,1280,720
377,6.283,1262,698,23,62,1280,720
378,6.3,1263,698,23,62,1280,720
379,6.317,1264,698,23,62,1280,720
380,6.333,1265,697,23,62,1280,720
381,6.35,1265,696,23,62,1280,720
382,6.367,1266,695,23,62,1280,720
383,6.383,1267,693,23,62,1280,720
