frame,time_s,chunk_id,error_px,is_miss,speed_t,accel_t,speed_c,accel_c,v_rel,a_rel,cross_x,cross_y,ball_x,ball_y,ball_w,ball_h,on_target
1893,31.55,0,7.306847656530035,0.0,11.42857142856883,171.428571429351,0.0,0.0,11.42857142856883,171.428571429351,1280,720,1283,713,21,55,1.0
1894,31.567,0,7.363727982205729,0.0,14.28571428572468,171.428571429351,0.0,0.0,14.28571428572468,171.428571429351,1280,720,1281,713,21,55,1.0
1895,31.583,0,7.441076166286285,0.0,11.42857142856883,1371.4285714282596,0.0,0.0,11.42857142856883,1371.4285714282596,1280,720,1283,713,21,55,1.0
1896,31.6,0,7.50781905341208,0.0,34.28571428570649,3257.142857141298,0.0,0.0,34.28571428570649,3257.142857141298,1280,720,1283,713,21,55,1.0
1897,31.617,0,7.7327820586997085,0.0,19.99999999998181,383.3259389991447,0.0,0.0,19.99999999998181,383.3259389991447,1280,720,1283,713,21,55,1.0
1898,31.633,0,7.597141125975274,0.0,18.070158058113858,1212.1830534633034,0.0,0.0,18.070158058113858,1212.1830534633034,1280,720,1283,713,21,55,1.0
1899,31.65,0,7.579809676979412,0.0,20.20305089104927,1084.2094834872198,0.0,0.0,20.20305089104927,1084.2094834872198,1280,720,1283,713,21,55,1.0
1900,31.667,0,7.274501175127975,0.0,32.57644071712219,923.1711097947325,0.0,0.0,32.57644071712219,923.1711097947325,1280,720,1282,713,21,55,1.0
1901,31.683,0,6.979237104934492,0.0,17.37932151513494,923.1711097945805,0.0,0.0,17.37932151513494,923.1711097945805,1280,720,1282,713,21,55,1.0
1902,31.7,0,6.86044893845789,0.0,4.040610178212748,1580.4933355353867,0.0,0.0,4.040610178212748,1580.4933355353867,1280,720,1282,714,19,50,1.0
1903,31.717,0,6.895724792084183,0.0,24.411439272327858,1248.0188381624282,0.0,0.0,24.411439272327858,1248.0188381624282,1280,720,1281,713,21,55,1.0
1904,31.733,0,7.12967036730901,0.0,14.568627181703736,1248.0188381631028,0.0,0.0,14.568627181703736,1248.0188381631028,1280,720,1282,713,21,55,1.0
1905,31.75,0,7.371730029519476,0.0,10.301575072763264,1248.018838163665,0.0,0.0,10.301575072763264,1248.018838163665,1280,720,1282,713,21,55,1.0
1906,31.767,0,7.320644557325284,0.0,11.428571428582472,342.85714285788345,0.0,0.0,11.428571428582472,342.85714285788345,1280,720,1283,713,21,55,1.0
1907,31.783,0,7.2671721723942655,0.0,5.714285714284415,0.0,0.0,0.0,5.714285714284415,0.0,1280,720,1281,713,21,55,1.0
1908,31.8,0,7.24216677464959,0.0,5.714285714284415,1542.857142856792,0.0,0.0,5.714285714284415,1542.857142856792,1280,720,1282,713,21,55,1.0
1909,31.817,0,7.218331413146979,0.0,19.999999999995453,1542.857142856792,0.0,0.0,19.999999999995453,1542.857142856792,1280,720,1282,713,21,55,1.0
1910,31.833,0,7.306847656530035,0.0,5.714285714284415,342.8571428570649,0.0,0.0,5.714285714284415,342.8571428570649,1280,720,1282,713,21,55,1.0
1911,31.85,0,7.280109889280627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,720,1282,713,21,55,1.0
1912,31.867,0,7.280109889280627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,720,1282,713,21,55,1.0
1913,31.883,0,7.280109889280627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,720,1282,713,21,55,1.0
1914,31.9,0,7.280109889280627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,720,1282,713,21,55,1.0
1915,31.917,0,7.280109889280627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,720,1282,713,21,55,1.0
1916,31.933,0,7.280109889280627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,720,1282,713,21,55,1.0
1917,31.95,0,7.280109889280627,0.0,0.0,342.8571428570649,0.0,0.0,0.0,342.8571428570649,1280,720,1282,713,21,55,1.0
1918,31.967,0,7.280109889280627,0.0,5.714285714284415,857.1428571426623,0.0,0.0,5.714285714284415,857.1428571426623,1280,720,1282,713,21,55,1.0
1919,31.983,0,7.254523961903625,0.0,8.571428571426623,923.1711097950365,0.0,0.0,8.571428571426623,923.1711097950365,1280,720,1282,713,21,55,1.0
1920,32.0,0,7.293335571888481,0.0,23.56060357496594,1097.6784407033554,0.0,0.0,23.56060357496594,1097.6784407033554,1280,720,1282,713,21,55,1.0
1921,32.017,0,7.499357493265228,0.0,14.28571428571513,857.1428571426623,0.0,0.0,14.28571428571513,857.1428571426623,1280,720,1282,713,21,55,1.0
1922,32.033,0,7.42933451514125,0.0,17.142857142860066,857.1428571424167,0.0,0.0,17.142857142860066,857.1428571424167,1280,720,1283,713,21,55,1.0
1923,32.05,0,7.162670931662531,0.0,28.139593719411042,1454.6196641554316,0.0,0.0,28.139593719411042,1454.6196641554316,1280,720,1283,713,21,55,1.0
1924,32.067,0,6.694160991731625,0.0,29.829447168322144,1999.1835068043504,0.0,0.0,29.829447168322144,1999.1835068043504,1280,720,1282,714,20,54,1.0
1925,32.083,0,6.400290526285728,0.0,8.571428571426623,1999.1835068043504,0.0,0.0,8.571428571426623,1999.1835068043504,1280,720,1282,714,20,54,1.0
1926,32.1,0,6.536484038285967,0.0,38.43892584878343,1149.9778170001794,0.0,0.0,38.43892584878343,1149.9778170001794,1280,720,1282,714,20,54,1.0
1927,32.117,0,7.095238095238104,0.0,20.603150145509503,857.1428571426623,0.0,0.0,20.603150145509503,857.1428571426623,1280,720,1282,713,21,55,1.0
1928,32.133,0,7.42933451514125,0.0,8.571428571433444,1097.678440702844,0.0,0.0,8.571428571433444,1097.678440702844,1280,720,1283,713,20,54,1.0
1929,32.15,0,7.5631880882970695,0.0,12.777531299995893,766.6518780004857,0.0,0.0,12.777531299995893,766.6518780004857,1280,720,1283,713,21,55,1.0
1930,32.167,0,7.409315702794402,0.0,22.857142857151302,514.2857142864159,0.0,0.0,22.857142857151302,514.2857142864159,1280,720,1282,713,21,55,1.0
1931,32.183,0,7.293335571888481,0.0,14.285714285711038,2057.142857143208,0.0,0.0,14.285714285711038,2057.142857143208,1280,720,1282,713,21,55,1.0
1932,32.2,0,7.230102102822291,0.0,20.000000000009095,685.7142857157669,0.0,0.0,20.000000000009095,685.7142857157669,1280,720,1282,713,21,55,1.0
1933,32.217,0,7.320644557325284,0.0,8.57142857141298,342.8571428554278,0.0,0.0,8.57142857141298,342.8571428554278,1280,720,1282,713,21,55,1.0
1934,32.233,0,7.363727982205729,0.0,2.85714285715585,342.857142858702,0.0,0.0,2.85714285715585,342.857142858702,1280,720,1282,713,21,55,1.0
1935,32.25,0,7.378647873726374,0.0,2.85714285715585,685.7142857133113,0.0,0.0,2.85714285715585,685.7142857133113,1280,720,1283,713,21,55,1.0
1936,32.267,0,7.363727982205729,0.0,14.285714285711038,514.2857142855974,0.0,0.0,14.285714285711038,514.2857142855974,1280,720,1282,713,21,55,1.0
1937,32.283,0,7.293335571888481,0.0,5.714285714284415,2057.142857143208,0.0,0.0,5.714285714284415,2057.142857143208,1280,720,1282,713,21,55,1.0
1938,32.3,0,7.2671721723942655,0.0,28.571428571435717,1028.5714285720132,0.0,0.0,28.571428571435717,1028.5714285720132,1280,720,1282,713,21,55,1.0
1939,32.317,0,7.409315702794402,0.0,11.42857142856883,685.7142857141298,0.0,0.0,11.42857142856883,685.7142857141298,1280,720,1282,713,21,55,1.0
1940,32.333,0,7.473915334738616,0.0,0.0,342.8571428570649,0.0,0.0,0.0,342.8571428570649,1280,720,1283,713,21,55,1.0
1941,32.35,0,7.473915334738616,0.0,5.714285714284415,1542.8571428576106,0.0,0.0,5.714285714284415,1542.8571428576106,1280,720,1283,713,21,55,1.0
